date,ticker,open,high,low,close,adj_close,volume
,,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
2024-01-15,000001.SS,2872.56005859375,2904.4599609375,2869.219970703125,2886.2900390625,2886.2900390625,244600
2024-01-16,000001.SS,2881.56005859375,2896.68310546875,2861.1298828125,2893.989013671875,2893.989013671875,286300
2024-01-17,000001.SS,2887.2919921875,2887.489013671875,2833.614990234375,2833.614990234375,2833.614990234375,261300
2024-01-18,000001.SS,2822.669921875,2849.260009765625,2760.97998046875,2845.780029296875,2845.780029296875,390400
2024-01-19,000001.SS,2836.97509765625,2849.8759765625,2822.843017578125,2832.279052734375,2832.279052734375,266700
2024-01-22,000001.SS,2826.5,2828.320068359375,2735.3701171875,2756.340087890625,2756.340087890625,350200
2024-01-23,000001.SS,2746.89208984375,2784.841064453125,2724.156982421875,2770.97607421875,2770.97607421875,308700
2024-01-24,000001.SS,2782.14208984375,2823.695068359375,2743.39697265625,2820.77197265625,2820.77197265625,369100
2024-01-25,000001.SS,2823.825927734375,2906.7939453125,2821.708984375,2906.10888671875,2906.10888671875,442000
2024-01-26,000001.SS,2897.9150390625,2924.306884765625,2890.48193359375,2910.222900390625,2910.222900390625,421100
2024-01-29,000001.SS,2910.610107421875,2923.89990234375,2883.330078125,2883.360107421875,2883.360107421875,410600
2024-01-30,000001.SS,2866.280029296875,2881.346923828125,2829.25,2830.527099609375,2830.527099609375,335700
2024-01-31,000001.SS,2815.50390625,2834.010986328125,2782.5869140625,2788.548095703125,2788.548095703125,377100
2024-02-01,000001.SS,2773.424072265625,2805.014892578125,2752.781982421875,2770.739990234375,2770.739990234375,352900
2024-02-02,000001.SS,2773.294921875,2791.676025390625,2666.333984375,2730.152099609375,2730.152099609375,426200
2024-02-05,000001.SS,2716.0810546875,2739.738037109375,2635.090087890625,2702.18505859375,2702.18505859375,479000
2024-02-06,000001.SS,2680.485107421875,2802.930908203125,2669.673095703125,2789.486083984375,2789.486083984375,502800
2024-02-07,000001.SS,2791.514892578125,2829.696044921875,2770.529052734375,2829.696044921875,2829.696044921875,547100
2024-02-08,000001.SS,2832.486083984375,2867.47412109375,2827.902099609375,2865.903076171875,2865.903076171875,531100
2024-02-19,000001.SS,2886.5869140625,2910.5439453125,2867.7099609375,2910.5439453125,2910.5439453125,459000
2024-02-20,000001.SS,2902.876953125,2927.30810546875,2887.47412109375,2922.72998046875,2922.72998046875,350100
2024-02-21,000001.SS,2906.02392578125,2994.614990234375,2898.050048828125,2950.9560546875,2950.9560546875,444200
2024-02-22,000001.SS,2945.447021484375,2988.35791015625,2944.4990234375,2988.35791015625,2988.35791015625,354100
2024-02-23,000001.SS,2992.912109375,3009.135986328125,2979.972900390625,3004.881103515625,3004.881103515625,380100
2024-02-26,000001.SS,3002.117919921875,3009.47900390625,2967.056884765625,2977.02197265625,2977.02197265625,409000
2024-02-27,000001.SS,2966.4169921875,3015.48095703125,2961.14794921875,3015.48095703125,3015.48095703125,373000
2024-02-28,000001.SS,3016.256103515625,3031.488037109375,2957.85205078125,2957.85205078125,2957.85205078125,544100
2024-02-29,000001.SS,2943.6240234375,3015.1708984375,2943.6240234375,3015.1708984375,3015.1708984375,409700
2024-03-01,000001.SS,3013.822998046875,3032.23193359375,3003.762939453125,3027.02001953125,3027.02001953125,379100
2024-03-04,000001.SS,3026.60693359375,3040.344970703125,3007.68310546875,3039.305908203125,3039.305908203125,387800
2024-03-05,000001.SS,3027.10302734375,3052.541015625,3022.177978515625,3047.79296875,3047.79296875,383500
2024-03-06,000001.SS,3041.751953125,3060.56298828125,3034.35400390625,3039.930908203125,3039.930908203125,341000
2024-03-07,000001.SS,3040.2109375,3063.69189453125,3023.117919921875,3027.40087890625,3027.40087890625,377200
2024-03-08,000001.SS,3026.1650390625,3049.194091796875,3016.903076171875,3046.01904296875,3046.01904296875,319200
2024-03-11,000001.SS,3042.618896484375,3068.455078125,3035.445068359375,3068.455078125,3068.455078125,356500
2024-03-12,000001.SS,3068.181884765625,3075.131103515625,3044.85693359375,3055.93505859375,3055.93505859375,415700
2024-03-13,000001.SS,3053.341064453125,3061.950927734375,3031.89892578125,3043.8349609375,3043.8349609375,365000
2024-03-14,000001.SS,3042.4130859375,3059.998046875,3020.636962890625,3038.23388671875,3038.23388671875,364100
2024-03-15,000001.SS,3031.52294921875,3056.447021484375,3023.215087890625,3054.635986328125,3054.635986328125,360300
2024-03-18,000001.SS,3057.208984375,3085.31201171875,3055.922119140625,3084.926025390625,3084.926025390625,406700
2024-03-19,000001.SS,3077.98095703125,3090.0458984375,3062.6279296875,3062.756103515625,3062.756103515625,384100
2024-03-20,000001.SS,3058.64794921875,3081.7548828125,3056.64501953125,3079.68603515625,3079.68603515625,349200
2024-03-21,000001.SS,3084.412109375,3090.051025390625,3069.27197265625,3077.113037109375,3077.113037109375,366900
2024-03-22,000001.SS,3070.548095703125,3073.2060546875,3027.761962890625,3048.033935546875,3048.033935546875,394700
2024-03-25,000001.SS,3040.5009765625,3065.260986328125,3026.305908203125,3026.305908203125,3026.305908203125,387500
2024-03-26,000001.SS,3026.922119140625,3036.493896484375,3006.260009765625,3031.48095703125,3031.48095703125,345900
2024-03-27,000001.SS,3026.81396484375,3030.449951171875,2993.138916015625,2993.138916015625,2993.138916015625,343200
2024-03-28,000001.SS,2988.590087890625,3033.366943359375,2984.1201171875,3010.6640625,3010.6640625,353200
